Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.774099709345794	15	|So I went back . |	|The widow she cried over me , and called me a poor lost lamb , and she called me a lot of other names , too , but she never meant no harm by it . |	|She put me in them new clothes again , and I could n't do nothing but sweat and sweat , and feel all cramped up . |	2	DEFAULT	DEFAULT								
0.232841418757816	78	|Then he says : `` Who dah ? '' |	|He listened some more ; then he come tiptoeing down and stood right between us ; we could a touched him , nearly . |	|Well , likely it was minutes and minutes that there war n't a sound , and we all there so close together . |	1	DEFAULT									
0.64340050368132	123	|Well , when Tom and me got to the edge of the hilltop we looked away down into the village and could see three or four lights twinkling , where there was sick folks , maybe ; and the stars over us was sparkling ever so fine ; and down by the village was the river , a whole mile broad , and awful still and grand . |	|We went down the hill and found Jo Harper and Ben Rogers , and two or three more of the boys , hid in the old tanyard . |	|So we unhitched a skiff and pulled down the river two mile and a half , to the big scar on the hillside , and went ashore . |	2	Jo Harper	Ben Rogers								
0.70717840005154	151	|That 's all right . |	|Huck can come in . '' |	|Then they all stuck a pin in their fingers to get blood to sign with , and I made my mark on the paper . |	1	Huck Finn									
0.909326702784652	20	|When you got to the table you could n't go right to eating , but you had to wait for the widow to tuck down her head and grumble a little over the victuals , though there war n't really anything the matter with them , -- that is , nothing only everything was cooked by itself . |	|In a barrel of odds and ends it is different ; things get mixed up , and the juice kind of swaps around , and the things go better . |	|After supper she got out her book and learned me about Moses and the Bulrushers , and I was in a sweat to find out all about him ; but by and by she let it out that Moses had been dead a considerable long time ; so then I did n't care no more about him , because I do n't take no stock in dead people . |	0										
0.0457093954045	193	|Now , Ben Rogers , do you want to do things regular , or do n't you ? |	|-- that 's the idea . |	|Do n't you reckon that the people that made the books knows what 's the correct thing to do ? |	0										
0.25644846286384	13	|I got into my old rags and my sugar-hogshead again , and was free and satisfied . |	|But Tom Sawyer he hunted me up and said he was going to start a band of robbers , and I might join if I would go back to the widow and be respectable . |	|So I went back . |	2	Tom Sawyer	DEFAULT								
0.431163983152152	7	|Aunt Polly -- Tom 's Aunt Polly , she is -- and Mary , and the Widow Douglas is all told about in that book , which is mostly a true book , with some stretchers , as I said before . |	|Now the way that the book winds up is this : Tom and me found the money that the robbers hid in the cave , and it made us rich . |	|We got six thousand dollars apiece -- all gold . |	2	Tom Sawyer	DEFAULT								
0.001461645232798	196	|Do you reckon _ you _ can learn ` em anything ? |	|Not by a good deal . |	|No , sir , we 'll just go on and ransom them in the regular way . '' |	0										
0.318155865190623	61	|Well , after a long time I heard the clock away off in the town go boom -- boom -- boom -- twelve licks ; and all still again -- stiller than ever . |	|Pretty soon I heard a twig snap down in the dark amongst the trees -- something was a stirring . |	|I set still and listened . |	1	DEFAULT									
0.93828348168302	209	|Little Tommy Barnes was asleep now , and when they waked him up he was scared , and cried , and said he wanted to go home to his ma , and did n't want to be a robber any more . |	|So they all made fun of him , and called him cry-baby , and that made him mad , and he said he would go straight and tell all the secrets . |	|But Tom give him five cents to keep quiet , and said we would all go home and meet next week , and rob somebody and kill some people . |	1	Tommy Barnes									
0.656753838549033	5	|That is nothing . |	|I never seen anybody but lied one time or another , without it was Aunt Polly , or the widow , or maybe Mary . |	|Aunt Polly -- Tom 's Aunt Polly , she is -- and Mary , and the Widow Douglas is all told about in that book , which is mostly a true book , with some stretchers , as I said before . |	3	DEFAULT	Aunt Polly	Mary							
0.073487866729202	105	|I did n't want him to try . |	|I said Jim might wake up and come . |	|But Tom wanted to resk it ; so we slid in there and got three candles , and Tom laid five cents on the table for pay . |	2	DEFAULT	Jim								
0.439484347808649	38	|She said it was wicked to say what I said ; said she would n't say it for the whole world ; she was going to live so as to go to the good place . |	|Well , I could n't see no advantage in going where she was going , so I made up my mind I would n't try for it . |	|But I never said so , because it would only make trouble , and would n't do no good . |	2	DEFAULT	DEFAULT								
0.923165798913583	84	|If you are with the quality , or at a funeral , or trying to go to sleep when you ai n't sleepy -- if you are anywheres where it wo n't do for you to scratch , why you will itch all over in upwards of a thousand places . |	|Pretty soon Jim says : `` Say , who is you ? |	|Whar is you ? |	2	DEFAULT	Jim								
0.623045528321152	206	|`` Well , if that 's the way I 'm agreed , but I do n't take no stock in it . |	|Mighty soon we 'll have the cave so cluttered up with women , and fellows waiting to be ransomed , that there wo n't be no place for the robbers . |	|But go ahead , I ai n't got nothing to say . '' |	0										
0.036134710669903	179	|`` Well , I do n't know . |	|But per ' aps if we keep them till they 're ransomed , it means that we keep them till they 're dead . '' |	|`` Now , that 's something _ like _ . |	0										
0.883419486514823	43	|So I did n't think much of it . |	|But I never said so . |	|I asked her if she reckoned Tom Sawyer would go there , and she said not by a considerable sight . |	1	DEFAULT									
0.401863088551772	169	|`` I do n't know . |	|But that 's what they do . |	|I 've seen it in books ; and so of course that 's what we 've got to do . '' |	0										
0.004342127930005	71	|Then I slipped down to the ground and crawled in among the trees , and , sure enough , there was Tom Sawyer waiting for me . |	|CHAPTER II . |	|WE went tiptoeing along a path amongst the trees back towards the end of the widow 's garden , stooping down so as the branches would n't scrape our heads . |	0										
0.701608880290456	50	|Then I set down in a chair by the window and tried to think of something cheerful , but it war n't no use . |	|I felt so lonesome I most wished I was dead . |	|The stars were shining , and the leaves rustled in the woods ever so mournful ; and I heard an owl , away off , who-whooing about somebody that was dead , and a whippowill and a dog crying about somebody that was going to die ; and the wind was trying to whisper something to me , and I could n't make out what it was , and so it made the cold shivers run over me . |	1	DEFAULT									
0.454383827391351	195	|Do n't you reckon that the people that made the books knows what 's the correct thing to do ? |	|Do you reckon _ you _ can learn ` em anything ? |	|Not by a good deal . |	1	DEFAULT									
0.577732880508355	63	|I set still and listened . |	|Directly I could just barely hear a `` me-yow ! |	|me-yow ! '' |	1	DEFAULT									
0.585526849499794	51	|I felt so lonesome I most wished I was dead . |	|The stars were shining , and the leaves rustled in the woods ever so mournful ; and I heard an owl , away off , who-whooing about somebody that was dead , and a whippowill and a dog crying about somebody that was going to die ; and the wind was trying to whisper something to me , and I could n't make out what it was , and so it made the cold shivers run over me . |	|Then away out in the woods I heard that kind of a sound that a ghost makes when it wants to tell about something that 's on its mind and ca n't make itself understood , and so ca n't rest easy in its grave , and has to go about that way every night grieving . |	1	DEFAULT									
0.638013606552532	156	|`` But who are we going to rob ? |	|-- houses , or cattle , or -- '' `` Stuff ! |	|stealing cattle and such things ai n't robbery ; it 's burglary , '' says Tom Sawyer . |	0										
0.141273849792734	18	|Well , then , the old thing commenced again . |	|The widow rung a bell for supper , and you had to come to time . |	|When you got to the table you could n't go right to eating , but you had to wait for the widow to tuck down her head and grumble a little over the victuals , though there war n't really anything the matter with them , -- that is , nothing only everything was cooked by itself . |	0										
0.017672543021201	16	|The widow she cried over me , and called me a poor lost lamb , and she called me a lot of other names , too , but she never meant no harm by it . |	|She put me in them new clothes again , and I could n't do nothing but sweat and sweat , and feel all cramped up . |	|Well , then , the old thing commenced again . |	2	DEFAULT	DEFAULT								
0.299903672401405	165	|It 's best . |	|Some authorities think different , but mostly it 's considered best to kill them -- except some that you bring to the cave here , and keep them till they 're ransomed . '' |	|`` Ransomed ? |	1	DEFAULT									
0.364673716746718	80	|Well , likely it was minutes and minutes that there war n't a sound , and we all there so close together . |	|There was a place on my ankle that got to itching , but I das n't scratch it ; and then my ear begun to itch ; and next my back , right between my shoulders . |	|Seemed like I 'd die if I could n't scratch . |	1	DEFAULT									
0.297538308132293	21	|In a barrel of odds and ends it is different ; things get mixed up , and the juice kind of swaps around , and the things go better . |	|After supper she got out her book and learned me about Moses and the Bulrushers , and I was in a sweat to find out all about him ; but by and by she let it out that Moses had been dead a considerable long time ; so then I did n't care no more about him , because I do n't take no stock in dead people . |	|Pretty soon I wanted to smoke , and asked the widow to let me . |	3	DEFAULT	DEFAULT	Moses							
0.86835059317549	100	|Just then Jim begun to breathe heavy ; next he begun to snore -- and then I was pretty soon comfortable again . |	|Tom he made a sign to me -- kind of a little noise with his mouth -- and we went creeping away on our hands and knees . |	|When we was ten foot off Tom whispered to me , and wanted to tie Jim to the tree for fun . |	2	Tom Sawyer	DEFAULT								
0.83655475624972	118	|What you know ` bout witches ? '' |	|and that nigger was corked up and had to take a back seat . |	|Jim always kept that five-center piece round his neck with a string , and said it was a charm the devil give to him with his own hands , and told him he could cure anybody with it and fetch witches whenever he wanted to just by saying something to it ; but he never told what it was he said to it . |	0										
0.574374226547304	1	|CHAPTER I . |	|YOU do n't know about me without you have read a book by the name of The Adventures of Tom Sawyer ; but that ai n't no matter . |	|That book was made by Mr. Mark Twain , and he told the truth , mainly . |	3	DEFAULT	DEFAULT	Tom Sawyer							
0.606444560204569	2	|YOU do n't know about me without you have read a book by the name of The Adventures of Tom Sawyer ; but that ai n't no matter . |	|That book was made by Mr. Mark Twain , and he told the truth , mainly . |	|There was things which he stretched , but mainly he told the truth . |	1	Mr. Mark Twain									
0.155537780562098	115	|Niggers would come miles to hear Jim tell about it , and he was more looked up to than any nigger in that country . |	|Strange niggers would stand with their mouths open and look him all over , same as if he was a wonder . |	|Niggers is always talking about witches in the dark by the kitchen fire ; but whenever one was talking and letting on to know all about such things , Jim would happen in and say , `` Hm ! |	1	Jim									
0.830309361487369	200	|I do n't mind ; but I say it 's a fool way , anyhow . |	|Say , do we kill the women , too ? '' |	|`` Well , Ben Rogers , if I was as ignorant as you I would n't let on . |	0										
0.500335468498785	68	|Says I , `` me-yow ! |	|me-yow ! '' |	|as soft as I could , and then I put out the light and scrambled out of the window on to the shed . |	0										
0.397928005227582	36	|She got mad then , but I did n't mean no harm . |	|All I wanted was to go somewheres ; all I wanted was a change , I war n't particular . |	|She said it was wicked to say what I said ; said she would n't say it for the whole world ; she was going to live so as to go to the good place . |	1	DEFAULT									
0.313484479011654	86	|Whar is you ? |	|Dog my cats ef I didn ' hear sumf â€™n . |	|Well , I know what I 's gwyne to do : I 's gwyne to set down here and listen tell I hears it agin . '' |	1	DEFAULT									
