Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.039503212415917	182	|First of all , he asked Miss Lucas . |	|I was so vexed to see him stand up with her ! |	|But , however , he did not admire her at all ; indeed , nobody can , you know ; and he seemed quite struck with Jane as she was going down the dance . |	3	Miss Lucas	DEFAULT	DEFAULT							
0.19487190459303	208	|`` I was very much flattered by his asking me to dance a second time . |	|I did not expect such a compliment . '' |	|`` Did not you ? |	1	DEFAULT									
0.567871615188763	161	|You had better return to your partner and enjoy her smiles , for you are wasting your time with me . '' |	|Mr. Bingley followed his advice . |	|Mr. Darcy walked off ; and Elizabeth remained with no very cordial feelings toward him . |	2	Mr. Bingley	Mr. Darcy								
0.861290835410794	13	|`` Bingley . '' |	|`` Is he married or single ? '' |	|`` Oh ! |	1	Mr. Bingley									
0.05505851641403	81	|`` Impossible , Mr. Bennet , impossible , when I am not acquainted with him myself ; how can you be so teasing ? '' |	|`` I honour your circumspection . |	|A fortnight 's acquaintance is certainly very little . |	2	DEFAULT	Mr. Bennet								
0.134252936862473	80	|`` Then , my dear , you may have the advantage of your friend , and introduce Mr. Bingley to _ her _ . '' |	|`` Impossible , Mr. Bennet , impossible , when I am not acquainted with him myself ; how can you be so teasing ? '' |	|`` I honour your circumspection . |	3	Miss Bingley	Mr. Bingley	DEFAULT							
0.423908663974752	98	|If I had known as much this morning I certainly would not have called on him . |	|It is very unlucky ; but as I have actually paid the visit , we can not escape the acquaintance now . '' |	|The astonishment of the ladies was just what he wished ; that of Mrs. Bennet perhaps surpassing the rest ; though , when the first tumult of joy was over , she began to declare that it was what she had expected all the while . |	1	DEFAULT									
0.008890675537121	170	|Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood ; and Catherine and Lydia had been fortunate enough never to be without partners , which was all that they had yet learnt to care for at a ball . |	|They returned , therefore , in good spirits to Longbourn , the village where they lived , and of which they were the principal inhabitants . |	|They found Mr. Bennet still up . |	0										
0.6360349790808	189	|`` Oh ! |	|my dear , I am quite delighted with him . |	|He is so excessively handsome ! |	2	DEFAULT	DEFAULT								
0.805013488321099	124	|He had entertained hopes of being admitted to a sight of the young ladies , of whose beauty he had heard much ; but he saw only the father . |	|The ladies were somewhat more fortunate , for they had the advantage of ascertaining from an upper window that he wore a blue coat , and rode a black horse . |	|An invitation to dinner was soon afterwards dispatched ; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping , when an answer arrived which deferred it all . |	0										
0.775322503915376	226	|`` I know you do ; and it is _ that _ which makes the wonder . |	|With _ your _ good sense , to be so honestly blind to the follies and nonsense of others ! |	|Affectation of candour is common enough -- one meets with it everywhere . |	1	DEFAULT									
0.007780935838937	48	|`` You mistake me , my dear . |	|I have a high respect for your nerves . |	|They are my old friends . |	2	DEFAULT	DEFAULT								
0.478202311362862	176	|my dear Mr. Bennet , '' as she entered the room , `` we have had a most delightful evening , a most excellent ball . |	|I wish you had been there . |	|Jane was so admired , nothing could be like it . |	2	Mr. Bennet	Jane								
0.612702398846072	83	|A fortnight 's acquaintance is certainly very little . |	|One can not know what a man really is by the end of a fortnight . |	|But if _ we _ do not venture somebody else will ; and after all , Mrs. Long and her neices must stand their chance ; and , therefore , as she will think it an act of kindness , if you decline the office , I will take it on myself . '' |	0										
0.452491326474952	173	|With a book he was regardless of time ; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations . |	|He had rather hoped that his wife 's views on the stranger would be disappointed ; but he soon found out that he had a different story to hear . |	|`` Oh ! |	1	DEFAULT									
0.247211123591179	120	|Nothing could be more delightful ! |	|To be fond of dancing was a certain step towards falling in love ; and very lively hopes of Mr. Bingley 's heart were entertained . |	|`` If I can but see one of my daughters happily settled at Netherfield , '' said Mrs. Bennet to her husband , `` and all the others equally well married , I shall have nothing to wish for . '' |	1	Mr. Bingley									
0.189487975671524	72	|`` Do n't keep coughing so , Kitty , for Heaven 's sake ! |	|Have a little compassion on my nerves . |	|You tear them to pieces . '' |	1	DEFAULT									
0.526552234978363	166	|Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party . |	|Mr. Bingley had danced with her twice , and she had been distinguished by his sisters . |	|Jane was as much gratified by this as her mother could be , though in a quieter way . |	2	Mr. Bingley	Mrs. Bennet								
0.307564444081492	74	|You tear them to pieces . '' |	|`` Kitty has no discretion in her coughs , '' said her father ; `` she times them ill . '' |	|`` I do not cough for my own amusement , '' replied Kitty fretfully . |	2	Kitty	DEFAULT								
0.808738257438024	153	|Upon my honour , I never met with so many pleasant girls in my life as I have this evening ; and there are several of them you see uncommonly pretty . '' |	|`` _ You _ are dancing with the only handsome girl in the room , '' said Mr. Darcy , looking at the eldest Miss Bennet . |	|`` Oh ! |	2	Mr. Darcy	Miss Lydia Bennet								
0.018745769401653	127	|Mr. Bingley was obliged to be in town the following day , and , consequently , unable to accept the honour of their invitation , etc. . |	|Mrs. Bennet was quite disconcerted . |	|She could not imagine what business he could have in town so soon after his arrival in Hertfordshire ; and she began to fear that he might be always flying about from one place to another , and never settled at Netherfield as he ought to be . |	1	Mrs. Bennet									
