Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.399137984433497	208	|Nothing like oxygen-shortage for keeping an embryo below par . ' |	|Again he rubbed his hands . |	|` But why do you want to keep the embryo below par ? ' |	1	DEFAULT									
0.812707342644322	283	|We slacken off the circu - lation when they 're right way up , so that they 're half starved , and double the flow of surrogate when they 're upside down . |	|They learn to associate topsy-turvydom with well-being ; in fact , they 're only truly happy when they 're standing on their heads . |	|` And now , ' Mr. Foster went on , ` I 'd like to show you some very inter - esting conditioning for Alpha Plus Intellectuals . |	0										
0.829083498164468	87	|` For in nature it takes thirty years for two hundred eggs to reach ma - turity . |	|But our business is to stabilize the population at this moment , here and now . |	|Dribbling out twins over a quarter of a century-what would be the use of that ? ' |	0										
0.669426841629177	141	|` Who give them the embryos they ask for . ' |	|` And the bottles come in here to be predestined in detail . ' |	|` After which they are sent down to the Embryo Store . ' |	0										
0.49542417328787	241	|And it was all but solved . |	|Pilkington , at Mombasa , had produced individuals who were sexually mature at four and full-grown at six and a half . |	|A scientific triumph . |	0										
0.962135502194116	94	|` And in exceptional cases we can make one ovary yield us over fifteen thousand adult individuals . ' |	|Beckoning to a fair-haired , ruddy young man who happened to be passing at the moment . |	|` Mr. Foster , ' he called . |	0										
0.268202739016497	115	|` Come along with us , and give these boys the benefit of your expert knowledge . ' |	|Mr. Foster smiled modestly . |	|` With pleasure . ' |	1	Mr. Foster									
0.385193876506564	19	|Not philosophers but fret-sawyers and stamp col - lectors compose the backbone of society . |	|` To-morrow , ' he would add , smiling at them with a slightly menacing geniality , ` you 'll be settling down to serious work . |	|You wo n't have time for generalities . |	1	DEFAULT									
0.340590414508487	32	|And anyhow the question did n't arise ; in this year of stability , A. F. 632 , it did n't occur to you to ask it . ' |	|I shall begin at the beginning , ' said the D.H.C. and the more zealous students recorded his intention in their notebooks : Begin at the begin - ning . |	|` These , ' he waved his hand , ` are the incubators . ' |	1	D.H.C.									
0.79397110775276	125	|The procession advanced ; one by one the eggs were transferred from their test-tubes to the larger containers ; deftly the peritoneal lining was slit , the morula dropped into place , the saline solution poured in ... and already the bottle had passed , and it was the turn of the labellers . |	|Heredity , date of fertilization , membership of Bokanovsky Group-details were trans - ferred from test-tube to bottle . |	|No longer anonymous , but named , identified , the procession marched slowly on ; on through an opening in the wall , slowly on into the Social Predestination Room . |	0										
0.530474620646678	227	|While at thirteen a man is not yet sexually mature ; and is only full-grown at twenty . |	|Hence , of course , that fruit of delayed development , the human intelligence . |	|` But in Epsilons , ' said Mr. Foster very justly , ` we do n't need human in - telligence . ' |	0										
0.11408632079755	69	|Major instruments of social stability . |	|Standard men and women ; in uniform batches . |	|The whole of a small factory staffed with the products of a single bokanovskified egg . |	0										
0.697460814086058	137	|` Promptly , ' repeated Mr. Foster . |	|` If you knew the amount of overtime I had to put in after the last Japanese earthquake ! ' |	|He laughed good - humouredly and shook his head . |	2	Mr. Foster	DEFAULT								
0.842807905616966	168	|` But in the interval , ' Mr. Foster concluded , ` we 've managed to do a lot to them . |	|Oh , a very great deal . ' |	|His laugh was knowing and trium - phant . |	0										
0.35726624314867	11	|A troop of newly arrived students , very young , pink and callow , followed nervously , rather abjectly , at the Director 's heels . |	|Each of them carried a notebook , in which , whenever the great man spoke , he desperately scribbled . |	|Straight from the horse 's mouth . |	0										
0.102233630596681	48	|We check the normal growth and , paradoxically enough , the egg responds by budding . ' |	|Responds by budding . |	|The pencils were busy . |	0										
0.538836812696607	178	|Told them of the corpus lu - teum extract . |	|Showed them the jets through which at every twelfth metre from zero to 2040 it was automatically injected . |	|Spoke of those gradually increasing doses of pituitary administered during the final ninety-six metres of their course . |	0										
