Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.109610582051895	116	|The telescreen had changed over to strident military music . |	|It was curious that he seemed not merely to have lost the power of expressing himself , but even to have forgotten what it was that he had originally intended to say . |	|For weeks past he had been making ready for this moment , and it had never crossed his mind that anything would be needed except courage . |	1	DEFAULT									
0.838172814361894	75	|With the next he was more successful . |	|He went back to the living-room and sat down at a small table that stood to the left of the telescreen . |	|From the table drawer he took out a penholder , a bottle of ink , and a thick , quarto-sized blank book with a red back and a marbled cover . |	1	DEFAULT									
0.052601866307242	45	|But it was no use , he could not remember : nothing remained of his childhood except a series of bright-lit tableaux occurring against no background and mostly unintelligible . |	|The Ministry of Truth -- Minitrue , in Newspeak -LSB- Newspeak was the official language of Oceania . |	|For an account of its structure and etymology see Appendix . -RSB- |	0										
0.496937590691076	19	|His hair was very fair , his face naturally sanguine , his skin roughened by coarse soap and blunt razor blades and the cold of the winter that had just ended . |	|Outside , even through the shut window-pane , the world looked cold . |	|Down in the street little eddies of wind were whirling dust and torn paper into spirals , and though the sun was shining and the sky a harsh blue , there seemed to be no colour in anything , except the posters that were plastered everywhere . |	0										
0.968439989111811	86	|Its smooth creamy paper , a little yellowed by age , was of a kind that had not been manufactured for at least forty years past . |	|He could guess , however , that the book was much older than that . |	|He had seen it lying in the window of a frowsy little junk-shop in a slummy quarter of the town -LRB- just what quarter he did not now remember -RRB- and had been stricken immediately by an overwhelming desire to possess it . |	1	DEFAULT									
0.951769604560766	22	|The black-moustachio 'd face gazed down from every commanding corner . |	|There was one on the house-front immediately opposite . |	|BIG BROTHER IS WATCHING YOU , the caption said , while the dark eyes looked deep into Winston 's own . |	0										
0.821267662999874	134	|little boy screaming with fright and hiding his head between her breasts as if he was trying to burrow right into her and the woman putting her arms round him and comforting him although she was blue with fright herself , all the time covering him up as much as possible as if she thought her arms could keep the bullets off him . |	|then the helicopter planted a 20 kilo bomb in among them terrific flash and the boat went all to matchwood . |	|then there was a wonderful shot of a child 's arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt oughter of showed it not in front of kids they didnt it aint right not in front of kids it aint until the police turned her turned her out i dont suppose anything happened to her nobody cares what the proles say typical prole reaction they never -- Winston stopped writing , partly because he was suffering from cramp . |	0										
0.042551434325557	126	|Suddenly he began writing in sheer panic , only imperfectly aware of what he was setting down . |	|His small but childish handwriting straggled up and down the page , shedding first its capital letters and finally even its full stops : April 4th , 1984 . |	|Last night to the flicks . |	1	DEFAULT									
0.407876157897219	92	|He had carried it guiltily home in his briefcase . |	|Even with nothing written in it , it was a compromising possession . |	|The thing that he was about to do was to open a diary . |	0										
0.016149927521168	190	|Goldstein was delivering his usual venomous attack upon the doctrines of the Party -- an attack so exaggerated and perverse that a child should have been able to see through it , and yet just plausible enough to fill one with an alarmed feeling that other people , less level-headed than oneself , might be taken in by it . |	|He was abusing Big Brother , he was denouncing the dictatorship of the Party , he was demanding the immediate conclusion of peace with Eurasia , he was advocating freedom of speech , freedom of the Press , freedom of assembly , freedom of thought , he was crying hysterically that the revolution had been betrayed -- and all this in rapid polysyllabic speech which was a sort of parody of the habitual style of the orators of the Party , and even contained Newspeak words : more Newspeak words , indeed , than any Party member would normally use in real life . |	|And all the while , lest one should be in any doubt as to the reality which Goldstein 's specious claptrap covered , behind his head on the telescreen there marched the endless columns of the Eurasian army -- row after row of solid-looking men with expressionless Asiatic faces , who swam up to the surface of the screen and vanished , to be replaced by others exactly similar . |	2	Emmanuel Goldstein	Big Brother								
