Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.735376684649187	93	|At the sound of our steps he glanced round and sprang to his feet with a cry of pleasure . |	|`` I 've found it ! |	|I 've found it , '' he shouted to my companion , running towards us with a test-tube in his hand . |	1	DEFAULT									
0.585998249290057	157	|`` That 's good enough . |	|I generally have chemicals about , and occasionally do experiments . |	|Would that annoy you ? '' |	1	DEFAULT									
0.990603897554138	148	|''' `` Very interesting reading it might be made , too , '' remarked Sherlock Holmes , sticking a small piece of plaster over the prick on his finger . |	|`` I have to be careful , '' he continued , turning to me with a smile , `` for I dabble with poisons a good deal . '' |	|He held out his hand as he spoke , and I noticed that it was all mottled over with similar pieces of plaster , and discoloured with strong acids . |	2	MR. SHERLOCK HOLMES	DEFAULT								
0.4210802563234	174	|`` I think we may consider the thing as settled -- that is , if the rooms are agreeable to you . '' |	|`` When shall we see them ? '' |	|`` Call for me here at noon to-morrow , and we 'll go together and settle everything , '' he answered . |	0										
0.874795843085008	90	|This was a lofty chamber , lined and littered with countless bottles . |	|Broad , low tables were scattered about , which bristled with retorts , test-tubes , and little Bunsen lamps , with their blue flickering flames . |	|There was only one student in the room , who was bending over a distant table absorbed in his work . |	0										
0.012160333357008	116	|As he spoke , he threw into the vessel a few white crystals , and then added some drops of a transparent fluid . |	|In an instant the contents assumed a dull mahogany colour , and a brownish dust was precipitated to the bottom of the glass jar . |	|`` Ha ! |	0										
0.943395171515543	66	|`` You must n't blame me if you do n't get on with him , '' he said ; `` I know nothing more of him than I have learned from meeting him occasionally in the laboratory . |	|You proposed this arrangement , so you must not hold me responsible . '' |	|`` If we do n't get on it will be easy to part company , '' I answered . |	2	DEFAULT	DEFAULT								
0.319642369891306	166	|It 's just as well for two fellows to know the worst of one another before they begin to live together . '' |	|I laughed at this cross-examination . |	|`` I keep a bull pup , '' I said , `` and I object to rows because my nerves are shaken , and I get up at all sorts of ungodly hours , and I am extremely lazy . |	1	DEFAULT									
0.866610939824931	189	|`` You must study him , then , '' Stamford said , as he bade me good-bye . |	|`` You 'll find him a knotty problem , though . |	|I 'll wager he learns more about you than you about him . |	2	DEFAULT	DEFAULT								
0.696417810665254	51	|I believe he is well up in anatomy , and he is a first-class chemist ; but , as far as I know , he has never taken out any systematic medical classes . |	|His studies are very desultory and eccentric , but he has amassed a lot of out-of-the way knowledge which would astonish his professors . '' |	|`` Did you never ask him what he was going in for ? '' |	1	DEFAULT									
0.65060913929677	161	|`` Let me see -- what are my other shortcomings . |	|I get in the dumps at times , and do n't open my mouth for days on end . |	|You must not think I am sulky when I do that . |	1	DEFAULT									
0.752182448504018	47	|He is a little queer in his ideas -- an enthusiast in some branches of science . |	|As far as I know he is a decent fellow enough . '' |	|`` A medical student , I suppose ? '' |	2	DEFAULT	DEFAULT								
